FEATURE_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M
Mount Ida,40.3717999,-105.7793586,3924
Cracktop,40.3658112,-105.7666649,3890
Mount Julian,40.3710889,-105.7574978,3933
Mount Patterson,40.3008116,-105.7874994,3483
Nisa Mountain,40.2885895,-105.7986111,3287
Green Mountain,40.2961549,-105.8221575,3138
Stones Peak,40.3543079,-105.7204233,3941
Gabletop Mountain,40.3328051,-105.7008721,3642
Joe Mills Mountain,40.3263194,-105.6794169,3372
Little Matterhorn,40.3264877,-105.6954686,3554
Notchtop Mountain,40.3192989,-105.6954287,3702
Glacier Knobs,40.2982313,-105.6501807,3131
The Sharkstooth,40.2809016,-105.6744513,3808
Half Mountain,40.2897653,-105.632535,3500
Arrowhead,40.2684098,-105.6504328,3847
Sprague Mountain,40.3465956,-105.7364074,3870
Knobtop Mountain,40.3244225,-105.7019404,3760
Ptarmigan Point,40.313091,-105.7025519,3761
Hallett Peak,40.3028369,-105.6858275,3872
Otis Peak,40.2920367,-105.6808297,3784
Powell Peak,40.2657707,-105.6646741,4015
McHenrys Peak,40.2629199,-105.6573871,4060
The Spearhead,40.2550433,-105.6382853,3826
Ptarmigan Mountain,40.2568575,-105.7297197,3755
Mount Lady Washington,40.2634916,-105.6072147,4055
Battle Mountain,40.275267,-105.6048032,3697
Twin Sisters Mountain,40.2885321,-105.517317,3480
Twin Sisters Peaks,40.2885983,-105.5173737,3480
Twin Peaks,40.1644237,-105.7524977,3637
Mount Acoma,40.1759928,-105.7827756,3186
Mount Irving Hale,40.1377245,-105.7204671,3574
Marten Peak,40.1425909,-105.6833293,3655
Cooper Peak,40.1504517,-105.673093,3746
Hiamovi Mountain,40.1583608,-105.695979,3775
Watanga Mountain,40.1685575,-105.7136944,3773
Ogalalla Peak,40.1699945,-105.6668864,4003
Andrews Peak,40.2440483,-105.7100395,3832
Mount Alice,40.2395383,-105.6646585,4058
Pilot Mountain,40.2314985,-105.658891,3705
The Cleaver,40.2172828,-105.6711705,3711
Isolation Peak,40.202347,-105.6777108,3998
Mount Craig,40.2191455,-105.7283305,3660
Mount Adams,40.1839628,-105.7329414,3693
Mahana Peak,40.1993422,-105.6667245,3848
Saint Vrain Mountain,40.1611721,-105.5857614,3707
Meadow Mountain,40.1749789,-105.5705463,3545
Mount Orton,40.2272007,-105.6197152,3575
Mount Meeker,40.2484911,-105.6049924,4236
Mount Neva,40.0069906,-105.688349,3908
North Arapaho Peak,40.0265977,-105.6506581,4117
Arikaree Peak,40.0466647,-105.6384548,4004
Navajo Peak,40.0534433,-105.646445,4082
Apache Peak,40.058379,-105.6511043,4097
Shoshoni Peak,40.0670707,-105.6388601,3955
Pawnee Peak,40.081433,-105.632514,3945
Mount Toll,40.0884279,-105.633754,3952
Paiute Peak,40.0974922,-105.6321053,3980
Satanta Peak,40.0255359,-105.689887,3652
Mount George,40.056678,-105.6581017,3924
Mount Achonee,40.072495,-105.6783264,3859
Lone Eagle Peak,40.0693983,-105.6606361,3660
South Arapaho Peak,40.0196352,-105.6497795,4085
Niwot Mountain,40.0587867,-105.5525324,3498
Little Pawnee Peak,40.0826932,-105.6209948,3797
Mount Audubon,40.0989998,-105.6162951,4030
Helmet Peak,37.4111246,-108.1272452,3643
Red Arrow Dome,37.3862779,-108.1515627,3077
Snowstorm Peak,37.4388981,-108.0118789,3813
Cumberland Mountain,37.4440226,-108.0043572,3776
Sharkstooth Peak,37.4598078,-108.0729727,3800
Madden Peak,37.3824578,-108.105802,3649
Star Peak,37.3889661,-108.1057277,3586
Deadwood Mountain,37.3828609,-108.0435247,3744
Baker Peak,37.3981726,-108.0317719,3643
Lewis Mountain,37.4220188,-108.0145081,3872
Gibbs Peak,37.4097309,-108.102416,3746
Burwell Peak,37.4209153,-108.0903435,3855
Babcock Peak,37.428296,-108.0770098,4001
Spiller Peak,37.4279158,-108.0872892,3990
Burro Mountain,37.4856588,-108.1065659,3528
Mount Moss,37.4389486,-108.0782487,4022
Centennial Peak,37.4473328,-108.0769016,3978
Hesperus Mountain,37.4450593,-108.0889536,4033
Diorite Peak,37.4399407,-108.0508765,3891
Silver Mountain,37.3868621,-108.0294433,3803
Ute Peak,37.2839497,-108.7782928,3039
Caviness Mountain,37.36515,-108.147118,3128
Baldy Peak,37.3491819,-108.0374345,3310
Sugarloaf,39.4517402,-106.8960376,3408
Mount Eve,39.4923296,-106.701564,3394
Craig Peak,39.4958122,-106.6381447,3625
Mount Thomas,39.4195977,-106.7435727,3651
Burnt Mountain,39.3847021,-106.6280785,3406
Mount Jackson,39.4852904,-106.5366449,4164
Gold Dust Peak,39.4789345,-106.5945946,4076
Fools Peak,39.4508128,-106.5994444,3939
Eagle Peak,39.4453365,-106.5813465,3978
Avalanche Peak,39.4160745,-106.5802137,3903
Middle Mountain,39.4406249,-106.5243578,3839
Savage Peak,39.3803164,-106.5202121,4003
Notch Mountain,39.4773805,-106.4604033,4029
Mount of the Holy Cross,39.4666238,-106.481692,4260
Whitney Peak,39.432725,-106.4729461,4041
Hornsilver Mountain,39.4972721,-106.3246734,3528
Resolution Mountain,39.4899796,-106.2945678,3627
Ptarmigan Hill,39.4947649,-106.2596315,3702
Taylor Hill,39.3853547,-106.2882397,3573
Sugarloaf Peak,39.4624475,-106.2481133,3823
Union Mountain,39.4683306,-106.1749481,3749
Copper Mountain,39.4690021,-106.1570851,3794
Mayflower Hill,39.4233518,-106.142212,3783
Elk Mountain,39.4540558,-106.2382201,3870
Pearl Peak,39.4440063,-106.2462531,3699
Corbett Peak,39.4408143,-106.2311374,3833
North Sheep Mountain,39.4263037,-106.2331112,3785
East Sheep Mountain,39.416648,-106.2089019,3626
Jacque Peak,39.4547731,-106.1970839,4026
Tucker Mountain,39.4552293,-106.1797325,3784
Sheep Mountain,39.414691,-106.2285592,3772
Carbonate Hill,39.4049878,-106.1758557,3501
Gold Hill,39.4160676,-106.1603098,3639
Fletcher Mountain,39.4031988,-106.1287279,4250
Little Bartlett Mountain,39.3857985,-106.1612716,3944
Wheeler Mountain,39.3804048,-106.1358001,4156
Bartlett Mountain,39.3769097,-106.1591995,4014
Peak Six,39.4938196,-106.1113148,3835
Peak Seven,39.4784298,-106.1052225,3859
Peak Eight,39.4726922,-106.1024673,3957
Gibson Hill,39.4956813,-106.029345,3187
Prospect Hill,39.4907808,-106.0131464,3259
Barney Ford Hill,39.4739782,-106.0342995,3101
Little Mountain,39.469475,-106.0341532,3065
Peak Nine,39.4515151,-106.1049864,4016
Peak Ten,39.4431527,-106.1028093,4154
Crystal Peak,39.4345416,-106.1143261,4223
Mount Helen,39.4285095,-106.0871889,4016
Pacific Peak,39.4230866,-106.1231723,4241
Mount Argentine,39.4325642,-106.0149645,3479
Quandary Peak,39.3972537,-106.1063989,4347
North Star Mountain,39.377399,-106.1076986,4109
Red Mountain,39.3944055,-106.0221011,4029
Red Peak,39.3910267,-106.004193,4026
Sloane Peak,39.3524954,-106.8907357,3200
Ford Peak,39.3437188,-106.7932954,3175
Larkspur Mountain,39.2728861,-106.75353,3489
Mount Yeckel,39.2865759,-106.6998971,3588
Cyclone Mountain,39.3223516,-106.7040424,3187
Sellar Peak,39.3117096,-106.5635892,3676
Mount Nast,39.2511753,-106.6117304,3802
Wildcat Mountain,39.2794092,-106.5427121,3688
Homestake Peak,39.3675144,-106.4146325,4028
Galena Mountain,39.3149065,-106.4323575,3928
Sugarloaf Mountain,39.2606876,-106.415806,3448
Fryer Hill,39.2549833,-106.2727908,3203
Yankee Hill,39.2532456,-106.2585176,3336
Canterbury Hill,39.2751083,-106.2599147,3396
Fairview Hill,39.2555244,-106.278002,3167
Missouri Hill,39.3382245,-106.3185426,3335
Cooper Hill,39.3494972,-106.2839461,3580
Buckeye Peak,39.345571,-106.2535389,3924
Mount Zion,39.3113051,-106.2752926,3697
Clinton Peak,39.3681328,-106.1487056,4221
McNamee Peak,39.3625982,-106.1530464,4195
Traver Peak,39.3585103,-106.1483658,4225
Mount Arkansas,39.3324327,-106.1782816,4203
Treasurevault Mountain,39.3064215,-106.1835154,4174
Mosquito Peak,39.300377,-106.1826807,4199
Prospect Mountain,39.2789053,-106.237063,3845
Mount Buckskin,39.3207684,-106.1510739,4224
Loveland Mountain,39.3084437,-106.1397409,4176
Little Ellen Hill,39.2524503,-106.2035118,3778
Mount Evans,39.256795,-106.1815489,4138
London Mountain,39.2844441,-106.1583226,4019
Pennsylvania Mountain,39.264689,-106.1421467,3969
Mount Lincoln,39.351504,-106.1113773,4354
Mount Cameron,39.3463459,-106.1189002,4338
Mount Bross,39.3349948,-106.1071665,4321
Mount Silverheels,39.3392986,-106.0054138,4214
Bald Hill,39.2634662,-106.0943905,3479
Eagle Mountain,39.21898,-106.9898412,3026
Burnt Mountain,39.1710086,-106.9230436,3471
Baldy Mountain,39.1477873,-106.9658646,4005
Highland Peak,39.128871,-106.8769749,3758
Red Mountain,39.2210132,-106.8132768,3173
Aspen Mountain,39.162268,-106.8269208,3260
Bell Mountain,39.1635927,-106.8193012,3231
Bald Knob,39.2227704,-106.7353868,3381
Geissler Mountain,39.1487276,-106.5730342,4073
Deer Mountain,39.1574604,-106.5212362,4199
Mount Champion,39.1320898,-106.521471,4161
Twin Mounds,39.2373854,-106.4148663,3408
Mount Massive,39.1873242,-106.4756085,4395
French Mountain,39.1283791,-106.4822818,4251
Rock Hill,39.2274388,-106.2513953,3360
Iron Hill,39.2382196,-106.2623421,3362
Carbonate Hill,39.2422176,-106.2761253,3245
Long and Derry Hill,39.2173179,-106.2196479,3670
Printer Boy Hill,39.2279398,-106.2404197,3479
Green Mountain,39.2316569,-106.2286333,3580
Whites Hill,39.2361012,-106.2428002,3424
Ball Mountain,39.237339,-106.2215925,3749
Breece Hill,39.241284,-106.2364268,3566
Rocky Point,39.1785294,-106.2286429,3685
Empire Hill,39.1917794,-106.2193271,3749
Mount Sheridan,39.2091843,-106.1847544,4188
West Sheridan,39.2169002,-106.2022108,3948
Mount Sherman,39.2251336,-106.1699259,4273
Gemini Peak,39.2347393,-106.1681509,4246
Dyer Mountain,39.2398887,-106.1831941,4222
East Ball Mountain,39.2386163,-106.2018902,3942
West Dyer Mountain,39.2435948,-106.1948395,3979
Ptarmigan Peak,39.1503246,-106.1743044,4188
Horseshoe Mountain,39.1857848,-106.185224,4238
Finnback Knob,39.1925179,-106.1917633,4087
Peerless Mountain,39.1981067,-106.1790067,4065
Weston Peak,39.1364027,-106.1638771,4139
Lamb Mountain,39.1902625,-106.1212908,3785
Sheep Mountain,39.1937121,-106.1117818,3902
Round Hill,39.1350971,-106.0636816,3432
North Maroon Peak,39.076094,-106.9870852,4272
Pyramid Peak,39.0717385,-106.9499676,4265
Keefe Peak,39.0326175,-106.9042174,4112
Belleview Mountain,39.0445446,-106.9984531,4026
Maroon Peak,39.0706997,-106.9888794,4311
Hunter Peak,39.052956,-106.903812,4111
Hayden Peak,39.0592282,-106.8519311,4138
Ashcroft Mountain,39.0428954,-106.7778047,3776
McArthur Mountain,39.0593173,-106.7673333,3699
Cathedral Peak,39.0343619,-106.8588973,4247
Conundrum Peak,39.0144457,-106.86364,4277
Castle Peak,39.0096902,-106.8612901,4346
Green Mountain,39.1092705,-106.6540834,3898
New York Peak,39.0858838,-106.6930356,3901
Gold Hill,39.0459843,-106.7397692,3770
Larson Peak,39.032863,-106.6352582,3928
Truro Peak,39.0460183,-106.6318175,4055
Independence Mountain,39.0940177,-106.6106822,3871
Star Mountain,39.061602,-106.5332022,3942
Ouray Peak,39.0542685,-106.5651273,3940
Grizzly Peak,39.0424852,-106.597521,4258
Red Mountain,39.0248467,-106.5917304,4105
Middle Mountain,39.0127637,-106.5755961,3975
Garfield Peak,39.0306078,-106.5950007,4200
Bull Hill,39.0995626,-106.4625828,4197
Casco Peak,39.1140514,-106.4938211,4240
Mount Elbert,39.1178687,-106.4452569,4397
Parry Peak,39.084019,-106.4138403,3867
La Plata Peak,39.0293628,-106.4731089,4369
Monitor Rock,39.073941,-106.4508907,3215
Twin Peaks,39.0423585,-106.4254736,4066
Quail Mountain,39.0178923,-106.3946729,4105
Mount Hope,39.0210977,-106.4198667,4249
Black Mountain,39.103514,-106.2371907,3545
South Peak,39.1220521,-106.2057999,3927
Black Mountain,39.1057031,-106.0172282,3223
Jones Hill,39.0422097,-106.0600063,3276
Bottle Peak,39.902087,-105.936264,3531
Ptarmigan Peak,39.9059758,-105.9479097,3589
Morse Mountain,39.9210056,-105.8975666,3155
Sheep Mountain,39.9533481,-105.9217547,3252
Nebraska Hill,39.8806988,-105.6512096,3518
Guinn Mountain,39.939425,-105.6494369,3419
Mount Epworth,39.922382,-105.6952503,3612
Jumbo Mountain,39.8971063,-105.5543904,3039
Buckeye Mountain,39.9220041,-105.5626621,3089
